State,Year,Total_Crimes,Normalized_Crime_Factor,hour,battery_percent,is_alone,mode_of_travel,risk_score
ANDHRA PRADESH,2001,13669,1.31,16,17,0,cab,3.8
ANDHRA PRADESH,2001,13669,1.31,20,88,0,metro,2.6
ANDHRA PRADESH,2001,13669,1.31,17,30,0,metro,2.4
ANDHRA PRADESH,2001,13669,1.31,4,36,0,metro,3.6
ANDHRA PRADESH,2001,13669,1.31,13,73,0,walking,3.6
ANDHRA PRADESH,2001,13669,1.31,23,13,0,metro,4.2
ANDHRA PRADESH,2001,13669,1.31,23,70,1,walking,5.7
ANDHRA PRADESH,2001,13669,1.31,20,16,1,metro,4.9
ANDHRA PRADESH,2001,13669,1.31,19,41,0,cab,3.4
ANDHRA PRADESH,2001,13669,1.31,0,32,1,cab,5.0
ANDHRA PRADESH,2001,13669,1.31,20,93,1,walking,5.4
ANDHRA PRADESH,2001,13669,1.31,23,71,1,cab,4.8
ANDHRA PRADESH,2001,13669,1.31,11,21,0,walking,3.8
ANDHRA PRADESH,2001,13669,1.31,12,39,1,walking,4.9
ANDHRA PRADESH,2001,13669,1.31,22,8,0,walking,5.6
ANDHRA PRADESH,2001,13669,1.31,8,93,1,cab,4.0
ANDHRA PRADESH,2001,13669,1.31,0,76,1,cab,5.2
ANDHRA PRADESH,2001,13669,1.31,21,28,1,cab,4.9
ANDHRA PRADESH,2001,13669,1.31,2,50,1,cab,5.1
ANDHRA PRADESH,2001,13669,1.31,13,8,1,walking,5.9
ANDHRA PRADESH,2001,13669,1.31,20,62,0,walking,4.3
ANDHRA PRADESH,2001,13669,1.31,5,57,1,cab,3.6
ANDHRA PRADESH,2001,13669,1.31,17,47,1,cab,3.9
ANDHRA PRADESH,2001,13669,1.31,19,26,1,cab,4.4
ANDHRA PRADESH,2001,13669,1.31,14,77,1,cab,3.9
ANDHRA PRADESH,2001,13669,1.31,13,83,0,cab,2.9
ANDHRA PRADESH,2001,13669,1.31,1,80,1,walking,6.2
ANDHRA PRADESH,2001,13669,1.31,4,8,1,metro,5.5
ANDHRA PRADESH,2001,13669,1.31,18,100,1,walking,5.3
ANDHRA PRADESH,2001,13669,1.31,17,90,0,cab,2.9
ANDHRA PRADESH,2001,13669,1.31,13,30,1,cab,3.8
ANDHRA PRADESH,2001,13669,1.31,1,57,0,cab,4.2
ANDHRA PRADESH,2001,13669,1.31,19,20,0,walking,4.1
ANDHRA PRADESH,2001,13669,1.31,16,37,1,walking,5.0
ANDHRA PRADESH,2001,13669,1.31,16,58,0,metro,2.2
ANDHRA PRADESH,2001,13669,1.31,6,59,1,walking,4.5
ANDHRA PRADESH,2001,13669,1.31,22,41,0,metro,3.2
ANDHRA PRADESH,2001,13669,1.31,13,10,0,metro,3.1
ANDHRA PRADESH,2001,13669,1.31,12,47,1,walking,4.9
ANDHRA PRADESH,2001,13669,1.31,7,27,0,metro,2.2
ANDHRA PRADESH,2001,13669,1.31,19,59,0,metro,3.0
ANDHRA PRADESH,2001,13669,1.31,0,71,1,metro,4.4
ANDHRA PRADESH,2001,13669,1.31,20,98,1,cab,4.3
ANDHRA PRADESH,2001,13669,1.31,4,8,0,cab,5.0
ANDHRA PRADESH,2001,13669,1.31,16,52,0,walking,3.7
ANDHRA PRADESH,2001,13669,1.31,16,24,1,walking,4.8
ANDHRA PRADESH,2001,13669,1.31,23,86,1,walking,6.0
ANDHRA PRADESH,2001,13669,1.31,13,32,1,cab,3.7
ANDHRA PRADESH,2001,13669,1.31,9,23,0,metro,2.5
ANDHRA PRADESH,2001,13669,1.31,22,56,0,walking,4.7
ANDHRA PRADESH,2001,13669,1.31,12,85,1,metro,3.1
ANDHRA PRADESH,2001,13669,1.31,20,98,1,metro,3.9
ANDHRA PRADESH,2001,13669,1.31,21,73,0,walking,5.0
ANDHRA PRADESH,2001,13669,1.31,15,41,0,walking,3.7
ANDHRA PRADESH,2001,13669,1.31,4,43,1,metro,4.7
ANDHRA PRADESH,2001,13669,1.31,18,47,0,cab,3.3
ANDHRA PRADESH,2001,13669,1.31,18,34,1,cab,4.1
ARUNACHAL PRADESH,2001,180,0.02,16,87,1,walking,3.4
ARUNACHAL PRADESH,2001,180,0.02,8,24,0,cab,1.6
ARUNACHAL PRADESH,2001,180,0.02,20,16,0,walking,4.0
ARUNACHAL PRADESH,2001,180,0.02,0,9,1,walking,5.6
ARUNACHAL PRADESH,2001,180,0.02,22,52,0,metro,2.1
ARUNACHAL PRADESH,2001,180,0.02,2,6,0,walking,4.9
ARUNACHAL PRADESH,2001,180,0.02,13,45,1,metro,2.1
ARUNACHAL PRADESH,2001,180,0.02,1,47,0,metro,2.5
ARUNACHAL PRADESH,2001,180,0.02,22,53,1,metro,3.1
ARUNACHAL PRADESH,2001,180,0.02,16,8,0,walking,3.4
ARUNACHAL PRADESH,2001,180,0.02,23,7,1,cab,4.6
ARUNACHAL PRADESH,2001,180,0.02,23,63,1,walking,4.6
ARUNACHAL PRADESH,2001,180,0.02,10,80,0,walking,2.6
ARUNACHAL PRADESH,2001,180,0.02,20,40,0,walking,2.9
ARUNACHAL PRADESH,2001,180,0.02,15,81,0,cab,1.3
ARUNACHAL PRADESH,2001,180,0.02,21,13,1,cab,4.5
ARUNACHAL PRADESH,2001,180,0.02,14,95,0,metro,1.0
ARUNACHAL PRADESH,2001,180,0.02,16,60,1,cab,2.4
ARUNACHAL PRADESH,2001,180,0.02,13,15,0,walking,3.7
ARUNACHAL PRADESH,2001,180,0.02,3,72,1,cab,3.7
ARUNACHAL PRADESH,2001,180,0.02,12,30,0,metro,1.0
ARUNACHAL PRADESH,2001,180,0.02,18,49,0,cab,1.9
ARUNACHAL PRADESH,2001,180,0.02,18,55,1,metro,2.6
ARUNACHAL PRADESH,2001,180,0.02,20,39,0,metro,1.5
ARUNACHAL PRADESH,2001,180,0.02,22,54,1,cab,3.6
ARUNACHAL PRADESH,2001,180,0.02,1,89,0,cab,3.0
ARUNACHAL PRADESH,2001,180,0.02,0,64,1,walking,4.9
ARUNACHAL PRADESH,2001,180,0.02,14,37,0,walking,2.7
ARUNACHAL PRADESH,2001,180,0.02,15,84,1,cab,2.6
ARUNACHAL PRADESH,2001,180,0.02,22,93,0,cab,2.6
ARUNACHAL PRADESH,2001,180,0.02,4,29,0,cab,2.6
ARUNACHAL PRADESH,2001,180,0.02,21,56,0,walking,3.6
ARUNACHAL PRADESH,2001,180,0.02,21,14,0,walking,4.6
ARUNACHAL PRADESH,2001,180,0.02,16,37,0,metro,1.0
ARUNACHAL PRADESH,2001,180,0.02,12,47,0,metro,1.0
ARUNACHAL PRADESH,2001,180,0.02,20,58,0,walking,3.1
ARUNACHAL PRADESH,2001,180,0.02,8,54,1,walking,3.6
ARUNACHAL PRADESH,2001,180,0.02,20,94,1,metro,2.6
ARUNACHAL PRADESH,2001,180,0.02,17,64,1,metro,1.8
ARUNACHAL PRADESH,2001,180,0.02,2,36,0,cab,2.6
ARUNACHAL PRADESH,2001,180,0.02,20,47,0,walking,3.1
ARUNACHAL PRADESH,2001,180,0.02,6,68,1,walking,3.3
ARUNACHAL PRADESH,2001,180,0.02,14,99,0,metro,1.0
ARUNACHAL PRADESH,2001,180,0.02,18,83,0,walking,3.0
ARUNACHAL PRADESH,2001,180,0.02,22,85,0,cab,2.5
ARUNACHAL PRADESH,2001,180,0.02,0,49,0,metro,2.2
ARUNACHAL PRADESH,2001,180,0.02,19,61,1,walking,3.9
ARUNACHAL PRADESH,2001,180,0.02,17,76,1,cab,2.4
ARUNACHAL PRADESH,2001,180,0.02,16,45,0,cab,1.3
ARUNACHAL PRADESH,2001,180,0.02,21,95,0,walking,3.5
ARUNACHAL PRADESH,2001,180,0.02,17,87,0,walking,2.7
ARUNACHAL PRADESH,2001,180,0.02,0,58,1,cab,3.8
ARUNACHAL PRADESH,2001,180,0.02,23,39,1,cab,3.6
ARUNACHAL PRADESH,2001,180,0.02,4,23,0,cab,3.0
ARUNACHAL PRADESH,2001,180,0.02,20,22,1,metro,2.4
ARUNACHAL PRADESH,2001,180,0.02,20,16,1,cab,4.2
ARUNACHAL PRADESH,2001,180,0.02,8,38,0,cab,1.7
ARUNACHAL PRADESH,2001,180,0.02,19,89,0,walking,3.0
ARUNACHAL PRADESH,2001,180,0.02,16,23,1,metro,2.2
ARUNACHAL PRADESH,2001,180,0.02,12,67,1,walking,3.5
ARUNACHAL PRADESH,2001,180,0.02,22,42,0,walking,3.3
ARUNACHAL PRADESH,2001,180,0.02,17,19,0,walking,3.4
ARUNACHAL PRADESH,2001,180,0.02,12,13,0,walking,3.3
ARUNACHAL PRADESH,2001,180,0.02,23,7,0,metro,3.0
ARUNACHAL PRADESH,2001,180,0.02,10,96,0,cab,1.7
ARUNACHAL PRADESH,2001,180,0.02,15,14,0,metro,2.0
ARUNACHAL PRADESH,2001,180,0.02,15,48,0,cab,1.6
ARUNACHAL PRADESH,2001,180,0.02,12,89,1,metro,2.1
ARUNACHAL PRADESH,2001,180,0.02,20,30,0,metro,1.5
ARUNACHAL PRADESH,2001,180,0.02,16,84,1,cab,2.3
ARUNACHAL PRADESH,2001,180,0.02,23,92,0,metro,1.9
ARUNACHAL PRADESH,2001,180,0.02,20,99,1,walking,4.0
ARUNACHAL PRADESH,2001,180,0.02,22,63,1,metro,2.8
ARUNACHAL PRADESH,2001,180,0.02,13,87,1,metro,2.0
ARUNACHAL PRADESH,2001,180,0.02,17,87,1,walking,3.4
ARUNACHAL PRADESH,2001,180,0.02,21,42,1,cab,3.5
ARUNACHAL PRADESH,2001,180,0.02,0,67,1,walking,4.8
ARUNACHAL PRADESH,2001,180,0.02,9,44,0,cab,1.3
ARUNACHAL PRADESH,2001,180,0.02,18,95,1,cab,3.1
ARUNACHAL PRADESH,2001,180,0.02,9,16,0,cab,2.4
ARUNACHAL PRADESH,2001,180,0.02,18,98,1,metro,2.7
ARUNACHAL PRADESH,2001,180,0.02,21,68,1,cab,3.4
ARUNACHAL PRADESH,2001,180,0.02,14,63,0,walking,2.6
ARUNACHAL PRADESH,2001,180,0.02,21,12,0,metro,3.0
ARUNACHAL PRADESH,2001,180,0.02,12,9,1,metro,3.1
ARUNACHAL PRADESH,2001,180,0.02,20,62,1,metro,2.6
ARUNACHAL PRADESH,2001,180,0.02,18,81,1,metro,2.7
ARUNACHAL PRADESH,2001,180,0.02,21,94,0,metro,2.0
ARUNACHAL PRADESH,2001,180,0.02,16,63,0,cab,1.7
ARUNACHAL PRADESH,2001,180,0.02,23,44,1,metro,3.0
ARUNACHAL PRADESH,2001,180,0.02,20,39,1,walking,4.2
ARUNACHAL PRADESH,2001,180,0.02,12,77,1,walking,3.6
ARUNACHAL PRADESH,2001,180,0.02,4,23,1,cab,3.9
ARUNACHAL PRADESH,2001,180,0.02,14,19,1,cab,3.7
ARUNACHAL PRADESH,2001,180,0.02,15,54,1,cab,2.4
ARUNACHAL PRADESH,2001,180,0.02,8,37,1,walking,3.5
ARUNACHAL PRADESH,2001,180,0.02,13,13,0,metro,2.2
ARUNACHAL PRADESH,2001,180,0.02,0,64,0,metro,2.2
ARUNACHAL PRADESH,2001,180,0.02,19,49,1,metro,2.7
ARUNACHAL PRADESH,2001,180,0.02,12,47,1,walking,3.7
ASSAM,2001,4048,0.39,0,43,0,cab,3.2
ASSAM,2001,4048,0.39,0,80,0,walking,4.2
ASSAM,2001,4048,0.39,18,55,0,walking,3.3
ASSAM,2001,4048,0.39,22,25,0,metro,2.3
ASSAM,2001,4048,0.39,23,46,0,walking,3.8
ASSAM,2001,4048,0.39,11,36,0,walking,2.7
ASSAM,2001,4048,0.39,19,71,0,cab,2.5
ASSAM,2001,4048,0.39,21,76,1,metro,3.4
ASSAM,2001,4048,0.39,17,76,1,metro,2.5
ASSAM,2001,4048,0.39,20,20,0,cab,2.6
ASSAM,2001,4048,0.39,1,75,0,metro,2.9
ASSAM,2001,4048,0.39,13,15,0,walking,4.0
ASSAM,2001,4048,0.39,3,58,0,walking,4.1
ASSAM,2001,4048,0.39,18,78,1,walking,4.3
ASSAM,2001,4048,0.39,9,23,0,metro,1.4
ASSAM,2001,4048,0.39,19,67,0,walking,3.6
ASSAM,2001,4048,0.39,16,67,1,metro,2.4
ASSAM,2001,4048,0.39,16,74,1,cab,2.7
ASSAM,2001,4048,0.39,17,58,0,metro,1.5
ASSAM,2001,4048,0.39,21,37,0,walking,4.0
ASSAM,2001,4048,0.39,14,8,0,walking,3.8
ASSAM,2001,4048,0.39,1,56,0,cab,3.1
ASSAM,2001,4048,0.39,22,76,1,cab,3.8
ASSAM,2001,4048,0.39,22,23,0,cab,2.8
ASSAM,2001,4048,0.39,19,96,0,cab,2.3
ASSAM,2001,4048,0.39,21,40,1,metro,3.5
ASSAM,2001,4048,0.39,2,39,0,metro,2.8
ASSAM,2001,4048,0.39,0,41,0,metro,2.9
ASSAM,2001,4048,0.39,10,31,1,cab,3.0
ASSAM,2001,4048,0.39,1,26,1,cab,4.1
ASSAM,2001,4048,0.39,15,83,1,metro,2.5
ASSAM,2001,4048,0.39,20,34,0,metro,1.9
ASSAM,2001,4048,0.39,19,79,0,walking,3.5
ASSAM,2001,4048,0.39,17,41,1,walking,4.0
ASSAM,2001,4048,0.39,8,72,1,cab,2.7
ASSAM,2001,4048,0.39,15,88,1,metro,2.3
ASSAM,2001,4048,0.39,1,61,0,walking,4.3
ASSAM,2001,4048,0.39,0,39,1,walking,5.1
ASSAM,2001,4048,0.39,21,38,0,metro,2.4
ASSAM,2001,4048,0.39,3,92,0,cab,3.1
ASSAM,2001,4048,0.39,1,34,1,cab,4.3
ASSAM,2001,4048,0.39,0,63,1,walking,5.4
ASSAM,2001,4048,0.39,0,30,1,metro,3.9
ASSAM,2001,4048,0.39,19,87,0,metro,1.9
ASSAM,2001,4048,0.39,12,48,0,cab,1.8
ASSAM,2001,4048,0.39,12,84,0,cab,1.9
ASSAM,2001,4048,0.39,21,81,0,walking,3.8
ASSAM,2001,4048,0.39,15,61,1,metro,2.4
ASSAM,2001,4048,0.39,21,33,0,walking,3.8
ASSAM,2001,4048,0.39,12,60,1,metro,2.6
ASSAM,2001,4048,0.39,16,53,0,walking,2.8
ASSAM,2001,4048,0.39,23,42,1,cab,3.8
ASSAM,2001,4048,0.39,0,55,1,walking,5.1
ASSAM,2001,4048,0.39,14,54,0,cab,1.9
ASSAM,2001,4048,0.39,10,82,0,metro,1.2
ASSAM,2001,4048,0.39,13,19,1,cab,3.9
ASSAM,2001,4048,0.39,19,24,1,walking,4.4
ASSAM,2001,4048,0.39,22,21,0,metro,2.3
ASSAM,2001,4048,0.39,21,18,1,walking,5.7
ASSAM,2001,4048,0.39,7,62,0,cab,1.8
ASSAM,2001,4048,0.39,20,20,0,cab,2.3
ASSAM,2001,4048,0.39,22,53,1,walking,5.0
ASSAM,2001,4048,0.39,5,33,1,cab,2.9
ASSAM,2001,4048,0.39,23,6,0,cab,3.8
ASSAM,2001,4048,0.39,7,13,0,metro,2.0
ASSAM,2001,4048,0.39,1,79,1,metro,3.6
ASSAM,2001,4048,0.39,17,100,1,walking,3.9
ASSAM,2001,4048,0.39,14,50,0,walking,3.0
ASSAM,2001,4048,0.39,22,60,0,walking,4.0
ASSAM,2001,4048,0.39,17,79,1,cab,3.0
ASSAM,2001,4048,0.39,21,26,1,metro,3.5
ASSAM,2001,4048,0.39,12,52,0,cab,1.7
ASSAM,2001,4048,0.39,19,24,0,cab,2.3
ASSAM,2001,4048,0.39,15,97,0,metro,1.2
ASSAM,2001,4048,0.39,11,98,1,walking,3.7
ASSAM,2001,4048,0.39,1,38,1,walking,5.3
ASSAM,2001,4048,0.39,22,56,0,metro,2.6
ASSAM,2001,4048,0.39,0,93,1,metro,3.7
ASSAM,2001,4048,0.39,15,80,0,walking,2.8
ASSAM,2001,4048,0.39,20,25,0,walking,3.3
ASSAM,2001,4048,0.39,1,88,0,cab,3.2
ASSAM,2001,4048,0.39,18,69,0,cab,2.3
ASSAM,2001,4048,0.39,18,76,1,cab,3.4
ASSAM,2001,4048,0.39,23,25,1,cab,3.9
ASSAM,2001,4048,0.39,17,8,0,walking,4.0
ASSAM,2001,4048,0.39,23,35,0,cab,2.7
ASSAM,2001,4048,0.39,22,27,1,metro,3.4
ASSAM,2001,4048,0.39,23,65,1,walking,4.9
ASSAM,2001,4048,0.39,21,50,1,walking,4.9
ASSAM,2001,4048,0.39,20,36,0,metro,2.1
ASSAM,2001,4048,0.39,16,52,1,metro,2.3
ASSAM,2001,4048,0.39,16,54,0,walking,2.9
ASSAM,2001,4048,0.39,17,35,1,walking,3.8
ASSAM,2001,4048,0.39,18,43,1,metro,3.0
ASSAM,2001,4048,0.39,23,53,0,cab,2.7
ASSAM,2001,4048,0.39,23,36,0,cab,2.7
ASSAM,2001,4048,0.39,22,55,0,cab,2.9
ASSAM,2001,4048,0.39,18,31,1,metro,2.8
ASSAM,2001,4048,0.39,22,12,1,walking,5.8
ASSAM,2001,4048,0.39,17,31,0,metro,1.5
BIHAR,2001,4489,0.43,9,96,1,cab,3.1
BIHAR,2001,4489,0.43,23,61,1,walking,4.8
BIHAR,2001,4489,0.43,18,18,1,cab,4.3
BIHAR,2001,4489,0.43,15,99,1,metro,2.6
BIHAR,2001,4489,0.43,21,10,1,walking,6.1
BIHAR,2001,4489,0.43,19,26,1,walking,4.6
BIHAR,2001,4489,0.43,3,48,0,cab,3.1
BIHAR,2001,4489,0.43,0,74,1,walking,5.4
BIHAR,2001,4489,0.43,17,12,0,walking,3.9
BIHAR,2001,4489,0.43,17,21,1,metro,2.3
BIHAR,2001,4489,0.43,14,33,1,walking,3.8
BIHAR,2001,4489,0.43,21,84,1,cab,3.9
BIHAR,2001,4489,0.43,16,68,1,walking,4.0
BIHAR,2001,4489,0.43,22,40,0,walking,4.1
BIHAR,2001,4489,0.43,13,25,0,cab,1.8
BIHAR,2001,4489,0.43,12,46,1,metro,2.4
BIHAR,2001,4489,0.43,22,25,0,walking,3.7
BIHAR,2001,4489,0.43,20,45,1,cab,3.4
BIHAR,2001,4489,0.43,20,74,1,metro,2.7
BIHAR,2001,4489,0.43,3,67,1,walking,5.2
BIHAR,2001,4489,0.43,1,51,0,metro,2.7
BIHAR,2001,4489,0.43,18,83,1,cab,3.4
BIHAR,2001,4489,0.43,6,66,1,cab,2.9
BIHAR,2001,4489,0.43,7,98,1,metro,2.2
BIHAR,2001,4489,0.43,17,68,1,cab,2.8
BIHAR,2001,4489,0.43,15,13,1,walking,5.0
BIHAR,2001,4489,0.43,6,21,0,walking,2.8
BIHAR,2001,4489,0.43,13,30,0,metro,1.6
BIHAR,2001,4489,0.43,14,46,0,metro,1.6
BIHAR,2001,4489,0.43,13,67,0,metro,1.3
BIHAR,2001,4489,0.43,23,49,1,cab,3.8
BIHAR,2001,4489,0.43,3,22,1,cab,4.1
BIHAR,2001,4489,0.43,8,96,1,metro,2.3
BIHAR,2001,4489,0.43,17,86,0,walking,2.9
BIHAR,2001,4489,0.43,21,48,1,cab,4.0
BIHAR,2001,4489,0.43,19,49,0,walking,3.4
BIHAR,2001,4489,0.43,12,90,0,cab,1.8
BIHAR,2001,4489,0.43,21,88,0,metro,2.3
BIHAR,2001,4489,0.43,18,83,1,walking,4.4
BIHAR,2001,4489,0.43,6,24,1,cab,2.6
BIHAR,2001,4489,0.43,22,57,1,cab,4.1
BIHAR,2001,4489,0.43,19,98,0,metro,2.0
BIHAR,2001,4489,0.43,3,25,0,walking,4.2
BIHAR,2001,4489,0.43,19,7,1,metro,3.8
BIHAR,2001,4489,0.43,1,50,1,metro,3.9
BIHAR,2001,4489,0.43,20,87,0,metro,2.0
BIHAR,2001,4489,0.43,13,65,0,cab,1.8
BIHAR,2001,4489,0.43,2,79,1,cab,4.1
BIHAR,2001,4489,0.43,23,73,0,cab,3.1
BIHAR,2001,4489,0.43,2,61,0,cab,3.4
BIHAR,2001,4489,0.43,1,25,0,cab,3.1
BIHAR,2001,4489,0.43,22,60,1,cab,4.1
BIHAR,2001,4489,0.43,22,43,0,metro,2.5
BIHAR,2001,4489,0.43,5,20,0,metro,1.2
BIHAR,2001,4489,0.43,17,60,0,cab,1.9
BIHAR,2001,4489,0.43,19,56,0,cab,2.4
BIHAR,2001,4489,0.43,2,68,1,walking,5.0
BIHAR,2001,4489,0.43,14,74,1,metro,2.4
BIHAR,2001,4489,0.43,14,72,1,cab,2.8
BIHAR,2001,4489,0.43,16,6,1,walking,5.1
BIHAR,2001,4489,0.43,21,87,1,cab,4.0
BIHAR,2001,4489,0.43,2,82,1,cab,4.4
BIHAR,2001,4489,0.43,21,39,0,walking,4.0
BIHAR,2001,4489,0.43,17,99,0,cab,2.0
BIHAR,2001,4489,0.43,11,19,1,metro,3.5
BIHAR,2001,4489,0.43,2,22,1,walking,5.2
BIHAR,2001,4489,0.43,11,59,0,walking,2.9
BIHAR,2001,4489,0.43,20,91,0,metro,2.0
BIHAR,2001,4489,0.43,17,29,1,cab,3.0
BIHAR,2001,4489,0.43,23,68,1,metro,3.5
BIHAR,2001,4489,0.43,1,24,0,cab,3.4
BIHAR,2001,4489,0.43,2,95,1,metro,3.8
BIHAR,2001,4489,0.43,21,43,1,cab,3.8
BIHAR,2001,4489,0.43,16,53,0,walking,2.7
BIHAR,2001,4489,0.43,23,43,1,metro,3.3
BIHAR,2001,4489,0.43,18,65,1,metro,3.1
BIHAR,2001,4489,0.43,17,9,1,walking,4.8
BIHAR,2001,4489,0.43,17,41,1,metro,2.6
BIHAR,2001,4489,0.43,20,12,0,walking,4.5
BIHAR,2001,4489,0.43,20,11,1,metro,4.0
BIHAR,2001,4489,0.43,5,18,0,cab,2.7
BIHAR,2001,4489,0.43,10,33,1,metro,2.6
BIHAR,2001,4489,0.43,12,48,0,cab,2.0
BIHAR,2001,4489,0.43,21,98,0,metro,2.3
BIHAR,2001,4489,0.43,18,59,0,cab,2.6
BIHAR,2001,4489,0.43,18,23,0,cab,2.6
BIHAR,2001,4489,0.43,15,10,0,cab,2.9
BIHAR,2001,4489,0.43,21,49,0,walking,4.1
BIHAR,2001,4489,0.43,1,97,1,cab,4.4
BIHAR,2001,4489,0.43,22,63,1,metro,3.6
BIHAR,2001,4489,0.43,3,69,0,walking,4.3
BIHAR,2001,4489,0.43,13,14,1,walking,5.0
BIHAR,2001,4489,0.43,22,87,1,cab,3.9
BIHAR,2001,4489,0.43,14,51,1,walking,3.8
BIHAR,2001,4489,0.43,15,32,0,metro,1.5
BIHAR,2001,4489,0.43,22,10,1,metro,4.6
BIHAR,2001,4489,0.43,3,91,1,walking,5.2
BIHAR,2001,4489,0.43,11,37,0,walking,3.0
BIHAR,2001,4489,0.43,16,24,1,cab,2.8
BIHAR,2001,4489,0.43,22,7,0,walking,5.0
CHHATTISGARH,2001,3964,0.38,18,89,1,walking,4.3
CHHATTISGARH,2001,3964,0.38,11,56,1,walking,4.0
CHHATTISGARH,2001,3964,0.38,18,72,1,walking,4.5
CHHATTISGARH,2001,3964,0.38,22,60,1,cab,4.0
CHHATTISGARH,2001,3964,0.38,0,91,0,walking,4.4
CHHATTISGARH,2001,3964,0.38,14,23,1,metro,2.5
CHHATTISGARH,2001,3964,0.38,20,75,0,metro,2.0
CHHATTISGARH,2001,3964,0.38,20,44,1,walking,4.6
CHHATTISGARH,2001,3964,0.38,13,62,1,walking,3.9
CHHATTISGARH,2001,3964,0.38,18,49,1,walking,4.4
CHHATTISGARH,2001,3964,0.38,16,93,0,walking,3.0
CHHATTISGARH,2001,3964,0.38,19,74,0,walking,3.3
CHHATTISGARH,2001,3964,0.38,1,54,0,walking,4.1
CHHATTISGARH,2001,3964,0.38,0,81,1,walking,5.3
CHHATTISGARH,2001,3964,0.38,13,79,1,cab,2.8
CHHATTISGARH,2001,3964,0.38,20,42,1,metro,2.7
CHHATTISGARH,2001,3964,0.38,13,48,1,cab,2.7
CHHATTISGARH,2001,3964,0.38,19,46,1,metro,2.8
CHHATTISGARH,2001,3964,0.38,19,61,0,cab,2.4
CHHATTISGARH,2001,3964,0.38,17,82,0,walking,3.0
CHHATTISGARH,2001,3964,0.38,20,38,0,walking,3.3
CHHATTISGARH,2001,3964,0.38,10,89,1,cab,2.8
CHHATTISGARH,2001,3964,0.38,17,50,1,walking,3.9
CHHATTISGARH,2001,3964,0.38,0,21,1,metro,3.6
CHHATTISGARH,2001,3964,0.38,9,51,0,cab,1.7
CHHATTISGARH,2001,3964,0.38,21,47,1,metro,3.5
CHHATTISGARH,2001,3964,0.38,22,20,0,cab,2.9
CHHATTISGARH,2001,3964,0.38,12,50,0,metro,1.5
CHHATTISGARH,2001,3964,0.38,9,38,1,walking,4.0
CHHATTISGARH,2001,3964,0.38,20,16,0,walking,4.3
